u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
2,11,34,0.34,0.2394166886806488,8
2,11,35,0.35,0.24458736181259155,8
2,11,36,0.36,0.2497580349445343,8
2,11,37,0.37,0.25492870807647705,8
2,11,38,0.38,0.2600993812084198,8
2,11,39,0.39,0.26527005434036255,8
2,11,40,0.4,0.2704407274723053,8
2,11,41,0.41,0.27561140060424805,8
2,11,42,0.42,0.2807820737361908,8
2,11,43,0.43,0.28595274686813354,8
2,11,44,0.44,0.2911234498023987,8
2,11,45,0.45,0.29676932096481323,8
2,11,46,0.46,0.3027953505516052,8
2,11,47,0.47,0.3088213801383972,8
2,11,48,0.48,0.3148474097251892,8
2,11,49,0.49,0.3208734393119812,8
2,11,50,0.5,0.3268994987010956,8
2,11,51,0.51,0.3329255282878876,8
2,11,52,0.52,0.33895158767700195,8
2,11,53,0.53,0.34497761726379395,8
2,11,54,0.54,0.35100364685058594,8
2,11,55,0.55,0.35702967643737793,8
2,11,56,0.56,0.36280959844589233,8
2,11,57,0.57,0.36828184127807617,8
2,11,58,0.58,0.3737541139125824,8
2,11,59,0.59,0.3792263865470886,8
2,11,60,0.6,0.38469862937927246,8
2,11,61,0.61,0.3901709020137787,8
2,11,62,0.62,0.3956431746482849,8
2,11,63,0.63,0.40111541748046875,8
2,11,64,0.64,0.406587690114975,8
2,11,65,0.65,0.4120599329471588,8
2,11,66,0.66,0.41753220558166504,8
2,11,67,0.67,0.42706578969955444,8
2,11,68,0.68,0.4447219967842102,8
2,11,69,0.69,0.46237823367118835,8
2,11,70,0.7,0.4800344705581665,8
2,11,71,0.71,0.49769070744514465,8
2,11,72,0.72,0.515346884727478,8
2,11,73,0.73,0.5330031514167786,8
2,11,74,0.74,0.5509061813354492,8
2,11,75,0.75,0.5689327120780945,8
2,11,76,0.76,0.586959183216095,8
2,11,77,0.77,0.6049856543540955,8
2,11,78,0.78,0.6220043897628784,8
2,11,79,0.79,0.6354959011077881,8
2,11,80,0.8,0.6489874124526978,8
2,11,81,0.81,0.6642823219299316,8
2,11,82,0.82,0.6795772314071655,8
2,11,83,0.83,0.6948721408843994,8
2,11,84,0.84,0.7101670503616333,8
2,11,85,0.85,0.7254619598388672,8
2,11,86,0.86,0.7407568693161011,8
2,11,87,0.87,0.7555604577064514,8
2,11,88,0.88,0.7693813443183899,8
2,11,89,0.89,0.7830600738525391,8
2,11,90,0.9,0.7956016063690186,8
2,11,91,0.91,0.8081430792808533,8
2,11,92,0.92,0.820684552192688,8
2,11,93,0.93,0.8332260847091675,8
