u_node_id,v_node_id,edge_distance,time_s,energy_J,mean_speed,mean_power_W,slowdown_idx,samples,energy_J_per_m
1,7,3.510911464691162,6.0,470.474294354819,0.29657611644825266,78.41238239246984,0.008835255193560765,6,134.00346294297808
7,10,0.48010414838790894,4.0,318.08770161290886,0.29865139853372435,79.52192540322721,0.0018996109370994496,4,662.5389567679888
17,19,0.5200961232185364,5.0,390.84133064516936,0.29874267185483866,78.16826612903387,0.0015945732317261818,5,751.4790308885727
19,22,4.365736484527588,6.0,470.75312500001746,0.29820742451276877,78.45885416666958,0.0033833831384861845,6,107.82902877175309
22,20,0.9209777116775513,6.0,460.32510080648353,0.1469487559475806,76.72085013441392,0.5088936090582975,6,499.82219435908627
20,23,3.203617572784424,6.0,474.1968749999942,0.2982452239751344,79.03281249999903,0.003257056396743896,6,148.01918900321365
23,25,0.9280086159706116,6.0,464.9556451613025,0.18960937998991936,77.49260752688376,0.3663207442956493,6,501.0251383011156
26,29,0.43908995389938354,6.0,465.94798387098126,0.21056209310137666,77.65799731183021,0.2962962568459201,6,1061.1674891057794
29,5,1.2717328071594238,6.0,466.31562500001746,0.22681553115087363,77.71927083333624,0.24197686333073853,6,366.67735736219026
5,29,1.274154543876648,6.0,457.3940524193458,0.19900944425235215,76.23234206989098,0.3349054961380521,6,358.9784729156266
29,28,0.43829214572906494,6.0,465.5374999999767,0.2091578710097446,77.58958333332946,0.3009892019413385,6,1062.1625428071297
28,34,0.6100819706916809,5.0,391.390625,0.2468145397379032,78.278125,0.1751396800810091,5,641.5377667303634
34,33,0.5456188917160034,5.0,387.49545454545296,0.1901389532895894,77.4990909090906,0.3645508971794694,5,710.1943507248384
33,6,1.2208967208862305,6.0,462.23195564516936,0.21870215301350193,77.0386592741949,0.2690919745114776,6,378.60037441139343
6,33,1.3053491115570068,6.0,459.11612903227797,0.22069090657426074,76.519354838713,0.26244551073300826,6,351.71903436977794
33,34,0.5456188917160034,6.0,456.3473790322605,0.2118913037533602,76.05789650537675,0.2918540018442529,6,836.3848575642629
34,28,0.6100819706916809,5.0,379.01250000001164,0.22532915737903222,75.80250000000233,0.24694436138114617,5,621.2484849704801
28,27,0.4294182062149048,5.0,385.0874999999942,0.18798739437499998,77.01749999999883,0.3717414604927063,5,896.765657409679
27,31,0.6600757241249084,6.0,454.50312500001746,0.15482416510248653,75.75052083333624,0.48257379612544926,6,688.5620973299273
31,32,0.43829214572906494,6.0,449.9927419355081,0.14550136686659942,74.99879032258468,0.5137308193039063,6,1026.6958838310463
32,35,1.4200352430343628,6.0,464.453125,0.22543340866039427,77.40885416666667,0.24659595101039744,6,327.07154789168914
35,33,0.6406990885734558,6.0,446.7755040322372,0.17851074665322578,74.46258400537288,0.4034126524728998,6,697.3250188743083
33,6,1.2208967208862305,6.0,452.30000000001746,0.21520578072580643,75.38333333333624,0.2807769375077702,6,370.46540650195186
6,33,1.3053491115570068,6.0,460.44526209676405,0.2398409951142473,76.74087701612734,0.19844543935818348,6,352.73725474677786
33,34,0.5456188917160034,5.0,389.47580645163544,0.20320837661009286,77.89516129032708,0.3208725599439275,5,713.823902296915
34,28,0.6100819706916809,4.0,311.9193548387266,0.2849301798639113,77.97983870968164,0.04775626441334657,4,511.274500515214
29,26,0.6646413803100586,4.0,315.441935483861,0.2982764603578629,78.86048387096525,0.003152663630102581,4,474.6047189188036
25,23,0.9280086159706116,6.0,456.4091733871028,0.14915592109374998,76.06819556451713,0.5015172083384831,6,491.8156637045237
23,20,3.1761534214019775,6.0,468.0387096774357,0.29782516544018817,78.00645161290595,0.004660902450093984,6,147.36023345838248
20,21,0.9051191210746765,6.0,459.171875,0.13786460847782256,76.52864583333333,0.5392530554509332,6,507.30546323539244
21,14,4.371143817901611,6.0,471.74687500001164,0.29860053183803764,78.6244791666686,0.002069608697044756,6,107.92298186758724
14,15,0.5930969715118408,4.0,316.3032258064777,0.298486285282258,79.07580645161943,0.0024514235230679304,4,533.3077742754297
12,11,0.6000833511352539,5.0,390.6175403225934,0.2989413063123167,78.12350806451869,0.0009307319429745498,5,650.9388063901666
11,2,3.520909070968628,6.0,471.5623991935281,0.2986993870387341,78.59373319892136,0.0017392321618586726,6,133.932001562255
2,11,3.520909070968628,6.0,472.8796370968048,0.2984929522849462,78.81327284946747,0.0024291422345501523,6,134.3061202562417
11,13,0.33970576524734497,6.0,466.484375,0.202573153484543,77.74739583333333,0.32299549140135875,6,1373.2012309545162
13,9,0.6603029370307922,5.0,388.4906250000058,0.2070059905,77.69812500000117,0.3081808400335687,5,588.352108120169
9,7,0.3465544581413269,5.0,390.6571572580724,0.2252018657943548,78.13143145161447,0.24736977301763863,5,1127.2605158602812
7,1,3.510911464691162,6.0,472.12812500001746,0.2979895494791666,78.68802083333624,0.004111526910365537,6,134.4745174431644
1,7,3.510911464691162,6.0,469.8668346774066,0.2986291281586021,78.3111391129011,0.0019740390837053035,6,133.8304424371859
7,8,0.3471311032772064,6.0,463.6000000000349,0.19442527413642474,77.26666666667249,0.35022590648503726,6,1335.5184701781695
8,3,1.5105297565460205,6.0,464.1027217741939,0.2391625309879032,77.35045362903232,0.20071288331389237,6,307.24500445155866
3,8,1.5105297565460205,6.0,464.5062500000058,0.2730301407090054,77.4177083333343,0.0875264907330271,6,307.51214796466274
8,10,0.32557642459869385,5.0,385.8344758064777,0.18350896449798385,77.16689516129554,0.38670848433584415,5,1185.0811258280082
10,17,0.4242011308670044,4.0,310.1260080645152,0.16395109804687502,77.5315020161288,0.4520713596142857,4,731.082464185476
17,18,0.35468295216560364,5.0,385.22329545454704,0.1809288298781769,77.0446590909094,0.3953313582969489,5,1086.1060366800036
18,4,1.4703060388565063,6.0,466.46562500001164,0.25470804776138395,77.74427083333528,0.14875938028001023,6,317.25750467759326
4,18,1.4703060388565063,6.0,462.0072580645501,0.27107756693884405,77.00120967742502,0.09405204075301798,6,314.22523328807426
18,19,0.3465544581413269,6.0,462.26249999998254,0.1916632407913306,77.04374999999709,0.3594566905023834,6,1333.88126783661
19,22,4.365736484527588,6.0,470.74516129033873,0.29808913928091396,78.45752688172313,0.0037786953202282314,6,107.82720463286908
22,20,0.9209777116775513,6.0,455.2838709677162,0.139516554250672,75.88064516128604,0.5337322116621985,6,494.34841385946396
20,23,3.203617572784424,6.0,470.7015120967699,0.29825773032594083,78.45025201612832,0.0032152598618309103,6,146.9281215384456
23,25,0.9280086159706116,6.0,459.4265120967757,0.16407577073756718,76.57108534946262,0.4516547003865161,6,495.067076092023
26,29,0.43908995389938354,6.0,461.9843750000291,0.20821238195564515,76.99739583333819,0.3041490498355207,6,1052.140616967729
29,5,1.2717328071594238,6.0,460.96290322579443,0.2204264592002688,76.8271505376324,0.2633293004228068,6,362.46835862905306
5,29,1.274154543876648,6.0,457.03649193549063,0.21121035505712363,76.1727486559151,0.2941297492942313,6,358.6978472367609
29,28,0.43829214572906494,5.0,387.4468750000233,0.18962640758064514,77.48937500000466,0.36626383766466875,5,883.9922840860758
28,34,0.6100819706916809,5.0,393.6647177418927,0.2502719263172043,78.73294354837853,0.1635850082901399,5,645.2652867213483
34,33,0.5456188917160034,6.0,463.0000946969667,0.20644031018598277,77.16668244949444,0.3100713576881915,6,848.5778291891695
33,6,1.2208967208862305,6.0,461.31562500001746,0.22014404790887707,76.88593750000291,0.2642731259705784,6,377.8498353776849
6,33,1.3053491115570068,6.0,461.95352822580026,0.23191239189348115,76.99225470430004,0.22494302817988276,6,353.89270512835213
33,34,0.5456188917160034,5.0,378.7435483870795,0.21867428145564513,75.7487096774159,0.269185121949853,5,694.1540224091377
34,28,0.6100819706916809,4.0,310.1343750000233,0.24578004931955644,77.53359375000582,0.1785969727443052,4,508.3486972224539
28,27,0.4294182062149048,5.0,382.3870967742405,0.1799216198326002,76.4774193548481,0.39869747927710775,5,890.4771414905326
27,31,0.6600757241249084,6.0,463.12258064519847,0.17766593855734766,77.18709677419974,0.4062360221049165,6,701.6203803876904
31,32,0.43829214572906494,6.0,449.95601173018804,0.15822431285872837,74.992668621698,0.4712104179024168,6,1026.6120808113528
32,35,1.4200352430343628,6.0,465.09687499998836,0.22740431416228815,77.5161458333314,0.24000913588780115,6,327.52488171079403
35,33,0.6406990885734558,6.0,454.7318548387266,0.21328837894489247,75.7886424731211,0.2871849418664172,6,709.7432522515471
33,6,1.2208967208862305,6.0,450.2921370968106,0.21235268937163976,75.0486895161351,0.2903120396523,6,368.8208260318288
6,33,1.3053491115570068,6.0,462.29284274199745,0.23565637016801078,77.04880712366624,0.21243055982782488,6,354.15264671270916
33,34,0.5456188917160034,5.0,382.90312500001164,0.24374906943548386,76.58062500000233,0.1853845579437191,5,701.7776158661934
34,28,0.6100819706916809,4.0,302.421875,0.27306536570060486,75.60546875,0.08740876793650654,4,495.70695337403424
29,26,0.6646413803100586,4.0,313.3862903225818,0.2963361082913306,78.34657258064544,0.009637368413114689,4,471.511855275074
25,23,0.9280086159706116,6.0,454.3093658358557,0.16029171174563173,75.71822763930929,0.4643011194913014,6,489.5529610581147
23,20,3.1761534214019775,6.0,464.7911290322081,0.2979032208333333,77.46518817203469,0.004400039388179233,6,146.33774486468158
20,22,0.9209777116775513,6.0,457.48125000001164,0.143210641297043,76.24687500000194,0.5213864810333873,6,496.734333740514
22,19,5.032394886016846,6.0,470.2032258064719,0.2971112695228494,78.36720430107864,0.007046760331036683,6,93.43528011146181
19,16,0.3405877351760864,6.0,463.08124999998836,0.20583437679771502,77.1802083333314,0.3120964021163962,6,1359.6533350226832
16,15,0.6603029370307922,5.0,386.890625,0.20400418165725806,77.378125,0.3182129597173975,5,585.9289779017868
15,14,0.3606937825679779,5.0,387.11250000004657,0.1884587969032258,77.42250000000931,0.3701660215390048,5,1073.2441719510086
14,21,4.371143817901611,6.0,469.8606060605962,0.2981175242016943,78.31010101009936,0.0036838322102160648,6,107.49145432742934
21,20,1.1300442218780518,6.0,456.72580645169364,0.13243015745967743,76.12096774194895,0.5574151256846054,6,404.1663127949527
20,23,3.203617572784424,6.0,472.1774193548481,0.29808325604838704,78.69623655914135,0.0037983572294069123,6,147.38882173893657
