u_node_id,v_node_id,k_idx,x,y,n_samples_used
1,7,0,-3.4607105255126953,20.62698745727539,7
1,7,1,-3.461273193359375,20.602624893188477,7
1,7,2,-3.4618358612060547,20.578264236450195,7
1,7,3,-3.4623985290527344,20.55390167236328,7
1,7,4,-3.462961196899414,20.529539108276367,7
1,7,5,-3.4635238647460938,20.505176544189453,7
1,7,6,-3.4640865325927734,20.480815887451172,7
1,7,7,-3.464649200439453,20.501951217651367,7
1,7,8,-3.465381622314453,20.542991638183594,7
1,7,9,-3.465601682662964,20.5534725189209,7
1,7,10,-3.4650425910949707,20.526840209960938,7
1,7,11,-3.464625358581543,20.52414894104004,7
1,7,12,-3.4642601013183594,20.565244674682617,7
1,7,13,-3.463895082473755,20.606340408325195,7
1,7,14,-3.4635298252105713,20.647432327270508,7
1,7,15,-3.463164806365967,20.688520431518555,7
1,7,16,-3.462799549102783,20.7296085357666,7
1,7,17,-3.463332414627075,20.770694732666016,7
1,7,18,-3.464517593383789,20.811782836914062,7
1,7,19,-3.465702772140503,20.852869033813477,7
1,7,20,-3.4668877124786377,20.893957138061523,7
1,7,21,-3.4681026935577393,20.935043334960938,7
1,7,22,-3.469431161880493,20.976125717163086,7
1,7,23,-3.470759868621826,21.017210006713867,7
1,7,24,-3.47208833694458,21.003414154052734,7
1,7,25,-3.473416805267334,20.981136322021484,7
1,7,26,-3.474745512008667,20.9588565826416,7
1,7,27,-3.476073980331421,20.93657875061035,7
1,7,28,-3.477372169494629,20.9143009185791,7
1,7,29,-3.4786503314971924,20.89202117919922,7
1,7,30,-3.479928731918335,20.86974334716797,7
1,7,31,-3.4812068939208984,20.84746551513672,7
1,7,32,-3.482485294342041,20.825185775756836,7
1,7,33,-3.4837634563446045,20.802907943725586,7
1,7,34,-3.485041856765747,20.780630111694336,7
1,7,35,-3.4860169887542725,20.758352279663086,7
1,7,36,-3.4868359565734863,20.736072540283203,7
1,7,37,-3.4876549243927,20.713825225830078,7
1,7,38,-3.488473892211914,20.69158172607422,7
1,7,39,-3.4891631603240967,20.669336318969727,7
1,7,40,-3.488898515701294,20.647092819213867,7
1,7,41,-3.488276720046997,20.624849319458008,7
1,7,42,-3.4876549243927,20.60260581970215,7
1,7,43,-3.4870331287384033,20.58036231994629,7
1,7,44,-3.486569881439209,20.558116912841797,7
1,7,45,-3.4864919185638428,20.535873413085938,7
1,7,46,-3.4864141941070557,20.513629913330078,7
1,7,47,-3.4863364696502686,20.49138641357422,7
1,7,48,-3.4862585067749023,20.46914291381836,7
1,7,49,-3.4861807823181152,20.446895599365234,7
1,7,50,-3.486102819442749,20.42464828491211,7
1,7,51,-3.485776901245117,20.402402877807617,7
1,7,52,-3.4851040840148926,20.380155563354492,7
1,7,53,-3.484431028366089,20.357908248901367,7
1,7,54,-3.4837582111358643,20.335660934448242,7
1,7,55,-3.4830851554870605,20.31341552734375,7
1,7,56,-3.482412338256836,20.291168212890625,7
1,7,57,-3.4817395210266113,20.2689208984375,7
1,7,58,-3.4809927940368652,20.246673583984375,7
1,7,59,-3.4802350997924805,20.22442626953125,7
1,7,60,-3.4794774055480957,20.202180862426758,7
1,7,61,-3.478719711303711,20.179933547973633,7
1,7,62,-3.477330446243286,20.15766143798828,7
1,7,63,-3.4755775928497314,20.135387420654297,7
1,7,64,-3.4739573001861572,20.113115310668945,7
1,7,65,-3.473402261734009,20.090843200683594,7
1,7,66,-3.4728469848632812,20.068571090698242,7
1,7,67,-3.472291946411133,20.046297073364258,7
1,7,68,-3.4717366695404053,20.024024963378906,7
1,7,69,-3.471181631088257,20.001752853393555,7
1,7,70,-3.4706265926361084,19.979480743408203,7
1,7,71,-3.470071315765381,19.95720672607422,7
1,7,72,-3.4693453311920166,19.934934616088867,7
1,7,73,-3.4686174392700195,19.912662506103516,7
1,7,74,-3.4678893089294434,19.89038848876953,7
1,7,75,-3.46679949760437,19.868118286132812,7
1,7,76,-3.465463399887085,19.84584617614746,7
1,7,77,-3.464127540588379,19.82357406616211,7
1,7,78,-3.4627685546875,19.801301956176758,7
1,7,79,-3.461352586746216,19.77903175354004,7
1,7,80,-3.4599366188049316,19.756759643554688,7
1,7,81,-3.4585206508636475,19.734487533569336,7
1,7,82,-3.4571046829223633,19.712217330932617,7
1,7,83,-3.456256628036499,19.689945220947266,7
1,7,84,-3.456275701522827,19.667673110961914,7
1,7,85,-3.455080032348633,19.645401000976562,7
1,7,86,-3.454219341278076,19.623130798339844,7
1,7,87,-3.4533588886260986,19.600833892822266,7
1,7,88,-3.452498197555542,19.578529357910156,7
1,7,89,-3.4516377449035645,19.556222915649414,7
1,7,90,-3.450984477996826,19.533918380737305,7
1,7,91,-3.4505879878997803,19.511613845825195,7
1,7,92,-3.449535369873047,19.475557327270508,7
1,7,93,-3.4487900733947754,19.43431282043457,7
1,7,94,-3.4481418132781982,19.393068313598633,7
1,7,95,-3.4474937915802,19.351823806762695,7
1,7,96,-3.446845531463623,19.310579299926758,7
1,7,97,-3.446197509765625,19.26933479309082,7
1,7,98,-3.445549249649048,19.228090286254883,7
1,7,99,-3.44490122795105,19.186845779418945,7
2,11,0,-2.342068910598755,20.54120635986328,8
2,11,1,-2.342207670211792,20.547550201416016,8
2,11,2,-2.342346429824829,20.55402374267578,8
2,11,3,-2.342485189437866,20.560527801513672,8
2,11,4,-2.342515468597412,20.567031860351562,8
2,11,5,-2.3421154022216797,20.573535919189453,8
2,11,6,-2.341646194458008,20.580039978027344,8
2,11,7,-2.341177463531494,20.59330177307129,8
2,11,8,-2.3409337997436523,20.63174819946289,8
2,11,9,-2.340916156768799,20.654470443725586,8
2,11,10,-2.341439723968506,20.628108978271484,8
2,11,11,-2.342165946960449,20.617897033691406,8
2,11,12,-2.3428797721862793,20.62380599975586,8
2,11,13,-2.343593120574951,20.629714965820312,8
2,11,14,-2.343733310699463,20.635622024536133,8
2,11,15,-2.3439853191375732,20.64153289794922,8
2,11,16,-2.344038963317871,20.647443771362305,8
2,11,17,-2.3440656661987305,20.65335464477539,8
2,11,18,-2.34409236907959,20.65926742553711,8
2,11,19,-2.344119071960449,20.665178298950195,8
2,11,20,-2.3441460132598877,20.671323776245117,8
2,11,21,-2.344172954559326,20.677907943725586,8
2,11,22,-2.3442811965942383,20.684490203857422,8
2,11,23,-2.34442138671875,20.69107437133789,8
2,11,24,-2.3445615768432617,20.69765853881836,8
2,11,25,-2.3447017669677734,20.704242706298828,8
2,11,26,-2.344841957092285,20.710826873779297,8
2,11,27,-2.344982147216797,20.717409133911133,8
2,11,28,-2.3451223373413086,20.7239933013916,8
2,11,29,-2.3452625274658203,20.730575561523438,8
2,11,30,-2.3454885482788086,20.737159729003906,8
2,11,31,-2.345791816711426,20.743738174438477,8
2,11,32,-2.346083164215088,20.75031852722168,8
2,11,33,-2.3463640213012695,20.756898880004883,8
2,11,34,-2.346644878387451,20.763477325439453,8
2,11,35,-2.346925735473633,20.77005958557129,8
2,11,36,-2.347158908843994,20.776641845703125,8
2,11,37,-2.347341537475586,20.783227920532227,8
2,11,38,-2.347524404525757,20.789813995361328,8
2,11,39,-2.3477072715759277,20.78292465209961,8
2,11,40,-2.3482251167297363,20.750389099121094,8
2,11,41,-2.348012924194336,20.717849731445312,8
2,11,42,-2.347458839416504,20.685314178466797,8
2,11,43,-2.3466503620147705,20.652782440185547,8
2,11,44,-2.346015453338623,20.620248794555664,8
2,11,45,-2.3453805446624756,20.58771514892578,8
2,11,46,-2.344745635986328,20.555179595947266,8
2,11,47,-2.3441104888916016,20.52264404296875,8
2,11,48,-2.3437628746032715,20.490108489990234,8
2,11,49,-2.3437864780426025,20.457569122314453,8
2,11,50,-2.3438100814819336,20.425029754638672,8
2,11,51,-2.3438334465026855,20.39249038696289,8
2,11,52,-2.3438568115234375,20.359949111938477,8
2,11,53,-2.3438801765441895,20.327409744262695,8
2,11,54,-2.344109535217285,20.29486846923828,8
2,11,55,-2.34434175491333,20.2623291015625,8
2,11,56,-2.3443830013275146,20.22979164123535,8
2,11,57,-2.344141960144043,20.197250366210938,8
2,11,58,-2.343900680541992,20.164710998535156,8
2,11,59,-2.3436596393585205,20.132171630859375,8
2,11,60,-2.343418598175049,20.099632263183594,8
2,11,61,-2.343177318572998,20.067092895507812,8
2,11,62,-2.3429393768310547,20.03455352783203,8
2,11,63,-2.342996597290039,20.00201416015625,8
2,11,64,-2.3430697917938232,19.96947479248047,8
