kind,seq_len,MAE,RMSE,R2,AdjR2,best_val_loss
physics_delta,1,0.0473921336233615,0.0722229033708572,0.4763835265788244,0.4527261557917231,0.0024647740647196
transformer_lite,5,0.0564610138535499,0.0654230862855911,0.2348937772899993,0.1653386661345447,0.002793570747599
gru,5,0.0605875179171562,0.0733556300401687,0.0381075537173344,-0.0493372141265442,0.003827498992905
lstm,5,0.0612913370132446,0.0711255222558975,0.0957040169242899,0.0134952911901345,0.0032986528240144
mlp,1,0.0634131506085395,0.0879436880350112,0.2236229041645653,0.1885456257382656,0.0033587764482945
