model,feature_mode,n_trainval_samples,n_test_samples,n_features,time_MAE,time_RMSE,time_R2,energy_MAE,energy_RMSE,energy_R2
MLP,planner_safe,136,28,27,0.7988419718398057,1.0747856423280222,-2.2001721368632365,63.49631027993728,89.97229776096466,-2.8360074194760205
XGBoost,planner_safe,136,28,27,0.36110128675188335,0.5516440815478684,0.15696121879108027,29.798040026067092,43.69173372634518,0.09539211022730176
LightGBM,planner_safe,136,28,27,0.37969609311337393,0.562548138851534,0.12330402726553169,29.137733208050822,43.45961172729976,0.10497843665038886
