u_node_id,v_node_id,edge_distance,time_s,energy_J,model,pred_time_s,pred_energy_J
26,29,0.4390899538993835,6.0,465.94798387098126,MLP,4.014023101706425,365.2162535955568
34,33,0.5456188917160034,5.0,387.49545454545296,MLP,5.297686116459799,399.60609914734545
33,6,1.2208967208862305,6.0,462.23195564516936,MLP,6.290959124672478,469.4077072690221
27,31,0.6600757241249084,6.0,454.50312500001746,MLP,5.765302192777893,427.020950320762
33,6,1.2208967208862305,6.0,452.30000000001746,MLP,6.290959124672478,469.4077072690221
23,20,3.1761534214019775,6.0,468.0387096774357,MLP,4.074594510472113,265.88362122639313
20,21,0.9051191210746764,6.0,459.171875,MLP,5.845509162260373,434.7247327521313
12,11,0.6000833511352539,5.0,390.6175403225934,MLP,4.668023539290641,335.15218329285244
9,7,0.3465544581413269,5.0,390.6571572580724,MLP,4.828240476778278,372.6842916635848
26,29,0.4390899538993835,6.0,461.9843750000291,MLP,4.014023101706425,365.2162535955568
34,33,0.5456188917160034,6.0,463.0000946969667,MLP,5.297686116459799,399.60609914734545
33,6,1.2208967208862305,6.0,461.31562500001746,MLP,6.290959124672478,469.4077072690221
27,31,0.6600757241249084,6.0,463.12258064519847,MLP,5.765302192777893,427.020950320762
33,6,1.2208967208862305,6.0,450.2921370968106,MLP,6.290959124672478,469.4077072690221
23,20,3.1761534214019775,6.0,464.7911290322081,MLP,4.074594510472113,265.88362122639313
22,19,5.032394886016846,6.0,470.2032258064719,MLP,5.2824420833587125,354.57217740880054
33,6,1.2208967208862305,6.0,450.1314516128623,MLP,6.290959124672478,469.4077072690221
23,20,3.1761534214019775,6.0,461.3861895161099,MLP,4.074594510472113,265.88362122639313
20,21,0.9051191210746764,6.0,452.5531249999767,MLP,5.845509162260373,434.7247327521313
13,11,0.5543110370635986,4.0,306.9289314515772,MLP,5.219709969312286,355.6193247594489
9,13,0.6603029370307922,5.0,383.1875,MLP,5.290709696479873,383.7031947094402
13,11,0.5543110370635986,6.0,460.4565524193458,MLP,5.219709969312286,355.6193247594489
34,33,0.5456188917160034,5.0,381.9156249999651,MLP,5.297686116459799,399.60609914734545
33,6,1.2208967208862305,6.0,455.09223790321266,MLP,6.290959124672478,469.4077072690221
23,20,3.1761534214019775,6.0,461.5750000000117,MLP,4.074594510472113,265.88362122639313
20,21,0.9051191210746764,6.0,451.61088709678734,MLP,5.845509162260373,434.7247327521313
13,11,0.5543110370635986,4.0,301.11755952384556,MLP,5.219709969312286,355.6193247594489
26,29,0.4390899538993835,6.0,454.71875,MLP,4.014023101706425,365.2162535955568
26,29,0.4390899538993835,6.0,465.94798387098126,XGBoost,5.302271366119385,407.05145263671875
34,33,0.5456188917160034,5.0,387.49545454545296,XGBoost,5.263566493988037,406.5689697265625
33,6,1.2208967208862305,6.0,462.23195564516936,XGBoost,6.012361526489258,462.0684814453125
