start_node,goal_node,mission,goal_is_operation_node,n_alpha_values,n_unique_routes,route_changed_across_alpha,min_pred_time_s,max_pred_time_s,range_pred_time_s,min_pred_energy_J,max_pred_energy_J,range_pred_energy_J,low_alpha,high_alpha,low_alpha_route,high_alpha_route
1,5,1->5,1,5,2,1,60.0468430519104,69.25889444351196,9.212051391601562,4617.65576171875,5323.45654296875,705.80078125,0.0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29 -> 5
1,6,1->6,1,5,2,1,70.47394800186157,79.68599939346313,9.212051391601562,5420.130615234375,6125.931396484375,705.80078125,0.0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28 -> 34 -> 33 -> 6
3,20,3->20,0,5,2,1,31.428328037261963,40.640379428863525,9.212051391601562,2414.7921752929688,3120.5929565429688,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20
3,23,3->23,0,5,2,1,37.07369947433472,46.28575086593628,9.212051391601562,2849.1397399902344,3554.9405212402344,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23
3,24,3->24,0,5,2,1,42.730069637298584,51.94212102890015,9.212051391601562,3284.6234741210938,3990.4242553710938,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24
3,25,3->25,0,5,2,1,42.768107891082764,51.980159282684326,9.212051391601562,3287.4632263183594,3993.2640075683594,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25
3,26,3->26,0,5,2,1,48.606003761291504,57.818055152893066,9.212051391601562,3736.633331298828,4442.434112548828,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26
3,27,3->27,0,5,2,1,54.03860425949097,63.25065565109253,9.212051391601562,4155.4901123046875,4861.2908935546875,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 27,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 27
3,28,3->28,0,5,2,1,54.16211128234863,63.374162673950195,9.212051391601562,4165.017730712891,4870.818511962891,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28
3,29,3->29,0,5,2,1,54.23648977279663,63.44854116439819,9.212051391601562,4170.763366699219,4876.564147949219,705.80078125,0.0,1.0,3 -> 8 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29,3 -> 8 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29
