start_node,goal_node,mission,goal_is_operation_node,alpha,route_nodes,n_edges,scalar_cost,total_pred_time_s,total_pred_energy_J
1,22,1->22,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22,5,2.1544463340424307,25.956836700439453,1993.4939880371094
1,22,1->22,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22,5,2.1526327367507516,25.956836700439453,1993.4939880371094
1,22,1->22,0,0.5,1 -> 7 -> 10 -> 17 -> 19 -> 22,5,2.150819139459073,25.956836700439453,1993.4939880371094
1,22,1->22,0,0.75,1 -> 7 -> 10 -> 17 -> 19 -> 22,5,2.1490055421673935,25.956836700439453,1993.4939880371094
1,22,1->22,0,1.0,1 -> 7 -> 10 -> 17 -> 19 -> 22,5,2.147191944875715,25.956836700439453,1993.4939880371094
1,23,1->23,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23,7,3.8108184367497135,37.433517932891846,2876.144989013672
1,23,1->23,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23,7,3.8125171341987283,37.433517932891846,2876.144989013672
1,23,1->23,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23,9,3.813449401900474,46.64556932449341,3581.945770263672
1,23,1->23,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23,9,3.8107338685215986,46.64556932449341,3581.945770263672
1,23,1->23,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23,9,3.808018335142722,46.64556932449341,3581.945770263672
1,24,1->24,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24,8,4.584557044763562,43.08988809585571,3311.6287231445312
1,24,1->24,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24,8,4.586421300473215,43.08988809585571,3311.6287231445312
1,24,1->24,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24,10,4.587519126435598,52.301939487457275,4017.4295043945312
1,24,1->24,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24,10,4.5849691513173605,52.301939487457275,4017.4295043945312
1,24,1->24,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24,10,4.582419176199123,52.301939487457275,4017.4295043945312
1,25,1->25,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25,8,4.611024595398009,43.12792634963989,3314.468475341797
1,25,1->25,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25,8,4.6133266352987405,43.12792634963989,3314.468475341797
1,25,1->25,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25,10,4.614862245452204,52.339977741241455,4020.269256591797
1,25,1->25,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25,10,4.612750054525045,52.339977741241455,4020.269256591797
1,25,1->25,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25,10,4.610637863597886,52.339977741241455,4020.269256591797
1,26,1->26,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26,9,5.512325289220843,48.96582221984863,3763.6385803222656
1,26,1->26,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26,9,5.516568587943246,48.96582221984863,3763.6385803222656
1,26,1->26,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26,11,5.520045456918378,58.177873611450195,4469.439361572266
1,26,1->26,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26,11,5.51987452481289,58.177873611450195,4469.439361572266
1,26,1->26,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26,11,5.519703592707401,58.177873611450195,4469.439361572266
1,27,1->27,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 27,10,6.131094486820551,54.398422718048096,4182.495361328125
1,27,1->27,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 27,10,6.1327448019710955,54.398422718048096,4182.495361328125
1,27,1->27,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 27,12,6.13362868737437,63.61047410964966,4888.296142578125
1,27,1->27,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 27,12,6.1308647716970235,63.61047410964966,4888.296142578125
1,27,1->27,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 27,12,6.128100856019676,63.61047410964966,4888.296142578125
1,28,1->28,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28,10,6.219895447301406,54.52192974090576,4192.022979736328
1,28,1->28,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 28,10,6.222251450725207,54.52192974090576,4192.022979736328
1,28,1->28,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28,12,6.2238410244017395,63.733981132507324,4897.823760986328
1,28,1->28,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28,12,6.22178279699765,63.733981132507324,4897.823760986328
