edge_idx,u,v,edge_distance,t_pred_s,e_pred_J,dt_s,slowdown_idx,used_pred
0,5,29,1.274154543876648,5.731686592102051,441.02435302734375,6,0.1859265678912752,1
1,29,26,0.6646413803100586,4.980531215667725,383.52301025390625,5,0.0141617355944353,1
2,26,25,6.361540794372559,5.860561370849609,451.5050354003906,6,0.21665076805684078,1
3,25,23,0.9280086159706116,5.787501335144043,445.1329956054687,6,0.459023313803599,1
4,23,20,3.1761534214019775,5.649384498596191,434.7475891113281,6,0.0048598575341338,1
5,20,22,0.9209777116775513,5.711909294128418,439.4122314453125,6,0.5213864810333873,1
6,22,19,5.032394886016846,5.845641613006592,449.4936828613281,6,0.0070467603310366,1
7,19,17,0.5200961232185364,4.93526554107666,380.0875549316406,5,0.21665076805684078,1
8,17,10,0.40302029252052307,4.612492561340332,352.4678955078125,5,0.21665076805684078,1
9,10,9,0.3252691328525543,4.622021198272705,353.1697082519531,5,0.21665076805684078,1
