t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
0,0,5,29,0.1666666716337204,0.07624494284391403,0.07624494284391403,-4.433168888092041,1.4422874450683594,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,75.96512096772979,0.1472365675,0.0,0.0,0.0,0.0
1,0,5,29,0.3333333432674408,0.1370321810245514,0.21327712386846542,-4.259138584136963,1.4463984966278076,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,151.93024193545958,0.289992946875,0.0,0.17407885408521429,0.17407885408521429,0.17407885408521429
2,0,5,29,0.5,0.16580699384212494,0.37908411771059036,-4.048563480377197,1.4513726234436035,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,227.89536290318938,0.2946678516129032,0.0,0.2106338440541208,0.2106338440541208,0.03655498996890652
3,0,5,29,0.6666666865348816,0.19492335617542267,0.574007473886013,-3.8010106086730957,1.457220196723938,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,303.86048387091915,0.296985828125,0.0,0.24762192633572708,0.24762192633572708,0.03698808228160627
4,0,5,29,0.8333333134651184,0.21701498329639435,0.7910224571824074,-3.5254015922546387,1.463730812072754,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,379.8256048386489,0.295895640625,0.0,0.27568590468750764,0.27568590468750764,0.028063978351780566
5,0,5,29,1.0,0.20897752046585083,1.0,-3.259999990463257,1.4700000286102295,1.274154543876648,0.1859265678912752,6.0,455.7907258063787,455.7907258063787,0.295724564516129,0.0,0.2654756359996619,0.2654756359996619,-0.010210268687845747
6,1,29,27,0.5,0.47828155755996704,0.47828155755996704,-3.0447731018066406,1.4795656204223633,0.45044422149658203,0.21665076805684078,1.507832840350115,222.8382450539284,567.209848333343,0.2963343625,0.0,0.21543935143683438,0.21543935143683438,-0.05003628456282752
7,1,29,27,1.0,0.521718442440033,1.0,-2.809999942779541,1.4900000095367432,0.45044422149658203,0.21665076805684078,1.507832840350115,222.8382450539284,678.6289708603072,0.2965067935483871,0.0,0.23500492053519664,0.23500492053519664,0.019565569098362268
8,2,27,26,0.5,0.4569399952888489,0.4569399952888489,-2.9150962829589844,1.6544983386993408,0.42720019817352295,0.21665076805684078,1.4300249786088173,211.33924669161428,784.2985942061143,0.298009509375,0.0,0.19520486934602735,0.19520486934602735,-0.039800051189169294
9,2,27,26,1.0,0.5430600047111511,1.0,-3.0399999618530273,1.850000023841858,0.42720019817352295,0.21665076805684078,1.4300249786088173,211.33924669161428,889.9682175519215,0.2990731,0.0,0.2319953402437861,0.2319953402437861,0.03679047089775875
